ITI,Expected_Reward,Decision,RT,Total_Time
10_5,0.15,1,7.037842035,12.10053396
10_5,0.25,1,7.037839174,31.19450903
10_5,0.15,1,7.053743124,50.28685498
10_5,0.05,2,2.357748985,64.68413305
10_5,0.25,1,7.054494858,81.77081609
10_5,0.05,2,2.620682001,96.43044496
10_5,0.15,1,7.054889917,113.504214
10_5,0.25,1,7.037835836,132.5808091
10_5,0.05,1,7.053621054,151.6740601
13_2,0.15,1,4.035143137,172.88416
13_2,0.15,1,4.051891804,191.9778111
13_2,0.25,1,4.052328825,211.0711741
13_2,0.05,1,4.051941156,230.1643231
13_2,0.05,1,4.052238941,249.2580152
13_2,0.25,1,4.051995993,268.351326
13_2,0.25,1,4.051632881,287.4443431
13_2,0.25,1,4.052087069,306.5378551
10_5,0.25,1,7.037290096,333.6687241
10_5,0.15,1,7.054255962,352.7621109
10_5,0.15,1,7.054395199,371.8561871
10_5,0.05,2,3.104722977,386.9999061
10_5,0.05,2,2.320734024,399.3394871
10_5,0.25,1,7.053998947,416.4121811
10_5,0.25,1,7.037960052,435.4897699
10_5,0.15,1,7.053353071,454.582056
10_5,0.05,1,7.053754807,473.6756151
2_13,0.15,1,15.02489901,505.792892
2_13,0.25,1,15.0408411,524.8687119
2_13,0.05,2,2.304123878,531.208688
2_13,0.05,2,2.420889854,535.6442401
2_13,0.15,2,2.654204845,540.3137801
2_13,0.25,1,15.04140186,557.3691251
2_13,0.15,2,6.607316017,568.0118561
2_13,0.25,1,15.04148793,585.0671971
2_13,0.25,1,15.04144311,604.143945
2_13,0.05,2,2.337930918,610.5172691
2_13,0.05,2,2.42126894,614.9525731
2_13,0.15,2,2.38835001,619.355798
2_13,0.15,2,2.384950876,623.754344
2_13,0.15,2,2.438693047,628.210535
2_13,0.25,1,15.04202199,645.266223
5_10,0.15,1,12.02351594,666.376735
5_10,0.25,1,12.02381706,685.436465
5_10,0.05,2,2.255414963,694.728709
5_10,0.25,1,12.03993797,711.783596
5_10,0.15,1,12.03894281,730.8603141
5_10,0.05,2,2.505553007,740.402585
5_10,0.05,1,12.03991699,757.4575222
5_10,0.15,2,2.46935606,767.0462301
5_10,0.15,1,12.03961182,784.1050491
5_10,0.25,1,12.04029202,803.181608
13_2,0.05,1,4.03553915,819.3060911
13_2,0.05,1,4.052165985,838.3991861
13_2,0.15,1,4.053563833,857.493463
13_2,0.15,1,4.034981966,876.5685031
13_2,0.25,1,4.052330971,895.6620321
13_2,0.25,1,4.052412987,914.75525
13_2,0.15,1,4.052009106,933.881712
13_2,0.25,1,4.052139997,952.974921
2_13,0.05,2,2.401284933,975.47019
2_13,0.15,2,2.42095685,979.908083
2_13,0.25,1,15.04178,996.9649332
2_13,0.25,1,15.04137301,1016.04073
2_13,0.05,2,2.337278843,1022.413613
2_13,0.15,2,2.721333981,1027.149572
2_13,0.15,2,2.788092136,1031.952104
2_13,0.05,2,2.453984976,1036.420516
2_13,0.25,1,15.04187512,1053.477354
2_13,0.15,2,2.387946844,1059.899898
2_13,0.25,1,15.04134703,1076.955394
2_13,0.05,2,2.421209097,1083.41197
2_13,0.15,2,2.503813028,1087.930234
2_13,0.05,2,2.401251078,1092.346636
2_13,0.25,1,15.0408051,1109.405085
2_13,0.15,2,2.354516983,1115.795433
2_13,0.25,1,15.04166508,1132.851346
5_10,0.25,1,12.040488,1153.979053
5_10,0.05,2,2.834916115,1163.850244
5_10,0.05,2,2.301645994,1171.171258
5_10,0.15,1,12.03965592,1188.230182
5_10,0.15,2,2.770847082,1198.054351
5_10,0.25,1,12.03900218,1215.110296
5_10,0.25,1,12.03903699,1234.186085
5_10,0.15,1,12.03914595,1253.262653
5_10,0.05,2,2.321028948,1262.621799
5_10,0.05,2,2.454966068,1270.091346
5_10,0.25,1,12.04029489,1287.147766
