ITI,Expected Reward,Decision (1=complete; 2=quit; 3=failed),RT,Total Time
"[13, 2]",0.05,1,4.03590893745,9.09326505661
"[13, 2]",0.25,1,4.05172491074,28.2027790546
"[13, 2]",0.25,1,4.03494787216,47.279291153
"[13, 2]",0.15,1,4.05240511894,66.3727891445
"[13, 2]",0.15,1,4.05334687233,85.4669041634
"[13, 2]",0.05,1,4.05174016953,104.558967113
"[13, 2]",0.05,2,3.03848576546,122.6388731
"[13, 2]",0.25,1,4.05140781403,139.710362196
"[13, 2]",0.15,1,4.05228900909,158.804088116
"[5, 10]",0.15,2,2.2875430584,181.18535614
"[5, 10]",0.25,1,12.0232229233,198.224206209
"[5, 10]",0.25,1,12.0400819778,217.301377058
"[5, 10]",0.05,2,2.5724029541,226.910071135
"[5, 10]",0.05,1,12.0402619839,243.964914083
"[5, 10]",0.15,1,12.0399811268,263.041140079
"[5, 10]",0.05,2,3.90569400787,273.983541012
"[5, 10]",0.05,1,12.0397450924,291.038825035
"[5, 10]",0.25,1,12.0402131081,310.115715027
"[5, 10]",0.25,1,12.0397701263,329.191877127
"[10, 5]",0.25,1,7.03720903397,348.318717003
"[10, 5]",0.05,2,2.55486321449,362.912606001
"[10, 5]",0.05,2,2.41902804375,375.349867105
"[10, 5]",0.15,1,7.05434203148,392.425332069
"[10, 5]",0.25,1,7.05352592468,411.584610224
"[10, 5]",0.15,2,3.55268096924,427.177251101
"[10, 5]",0.25,1,7.05482292175,444.252399206
"[10, 5]",0.05,2,2.7381529808,459.029508114
"[10, 5]",0.15,1,7.05507516861,476.102317095
"[10, 5]",0.25,1,7.05268096924,495.211292028
"[5, 10]",0.15,2,2.3045129776,514.606960058
"[5, 10]",0.05,2,2.3051970005,521.928824186
"[5, 10]",0.25,1,12.0391027927,538.983164072
"[5, 10]",0.15,1,12.0392129421,558.059679031
"[5, 10]",0.05,2,2.28745818138,567.38438201
"[5, 10]",0.25,1,12.0386431217,584.440138102
"[5, 10]",0.05,1,12.0408499241,603.517498016
"[5, 10]",0.25,1,12.0403661728,622.593954086
"[5, 10]",0.05,2,2.5523250103,632.182545185
"[5, 10]",0.15,2,2.35332298279,639.554461002
"[5, 10]",0.25,1,12.0401051044,656.611354113
"[2, 13]",0.25,1,15.0245990753,683.724596024
"[2, 13]",0.25,1,15.0413820744,702.801165104
"[2, 13]",0.05,2,2.28795099258,709.12414217
"[2, 13]",0.15,2,2.35406589508,713.492762089
"[2, 13]",0.05,2,2.30444693565,717.81202817
"[2, 13]",0.15,1,15.0416271687,734.868070126
"[2, 13]",0.05,2,2.33701491356,741.24006319
"[2, 13]",0.05,2,2.32087898254,745.576856136
"[2, 13]",0.15,2,2.4873650074,750.078162193
"[2, 13]",0.25,1,15.0419809818,767.135169029
"[2, 13]",0.25,1,15.0415711403,786.211922169
"[2, 13]",0.15,2,2.37109184265,792.617439032
"[2, 13]",0.15,1,15.0407519341,809.67249918
"[2, 13]",0.25,1,15.0408670902,828.74913311
"[13, 2]",0.15,1,4.03643584251,841.873596191
"[13, 2]",0.25,1,4.05236315727,860.966344118
"[13, 2]",0.25,1,4.05160307884,880.059220076
"[13, 2]",0.05,2,2.32186698914,897.422141075
"[13, 2]",0.15,1,4.05198287964,914.493537188
"[13, 2]",0.05,2,2.62130403519,932.155719042
"[13, 2]",0.05,1,4.05235815048,949.228545189
"[13, 2]",0.25,1,4.05200695992,968.338108063
"[13, 2]",0.15,1,4.05307412148,987.432230234
"[10, 5]",0.05,2,2.30465102196,1009.89594817
"[10, 5]",0.15,1,7.05300688744,1026.96865416
"[10, 5]",0.15,1,7.05371189117,1046.06174421
"[10, 5]",0.25,1,7.05467295647,1065.15552807
"[10, 5]",0.05,2,2.32049584389,1079.51469707
"[10, 5]",0.25,1,7.05366802216,1096.5876112
"[10, 5]",0.05,2,2.29001808167,1110.93278003
"[10, 5]",0.25,1,7.05392813683,1128.00387406
"[10, 5]",0.25,1,7.05438899994,1147.09780908
"[2, 13]",0.15,2,2.38774394989,1166.57693815
"[2, 13]",0.05,2,2.53775119781,1171.12996507
"[2, 13]",0.25,1,15.0414419174,1188.18504024
"[2, 13]",0.05,2,2.38805985451,1194.60911608
"[2, 13]",0.15,2,4.20614099503,1200.82877517
"[2, 13]",0.25,1,15.0410070419,1217.88352513
"[2, 13]",0.25,1,15.0412969589,1236.96056223
"[2, 13]",0.25,1,15.0415802002,1256.03731012
"[2, 13]",0.15,2,2.32033705711,1262.39261913
"[2, 13]",0.15,2,2.2870221138,1266.69457102
"[2, 13]",0.05,2,2.30394697189,1271.01381922
"[2, 13]",0.05,2,2.3037250042,1275.333606
"[2, 13]",0.25,1,15.0415091515,1292.38960505
"[2, 13]",0.05,2,2.36895489693,1298.7932992
"[2, 13]",0.15,2,2.30477595329,1303.11420417
"[2, 13]",0.25,1,15.0413570404,1320.16976619
Total reward = $,10.650000000000002
