ITI,Expected Reward,Decision (1=complete; 2=quit; 3=failed),RT,Total Time
"[13, 2]",0.15,1,4.03525400162,9.09761500359
"[13, 2]",0.05,1,4.05213308334,28.207734108
"[13, 2]",0.05,1,4.05261087418,47.3010101318
"[13, 2]",0.25,1,4.05211806297,66.3940830231
"[13, 2]",0.25,1,4.05173397064,85.4869110584
"[13, 2]",0.15,1,4.0521440506,104.580543041
"[13, 2]",0.25,1,4.05334496498,123.674714088
"[13, 2]",0.25,1,4.05261611938,142.767621994
"[2, 13]",0.05,1,15.0250251293,177.885859966
"[2, 13]",0.05,1,15.041877985,196.979085922
"[2, 13]",0.25,1,15.0418431759,216.055545092
"[2, 13]",0.15,1,15.0413031578,235.131484985
"[2, 13]",0.15,1,15.0413730145,254.207859039
"[2, 13]",0.25,1,15.0414681435,273.284512043
"[2, 13]",0.05,1,15.0403540134,292.360986948
"[2, 13]",0.25,1,15.0414538383,311.454137087
"[10, 5]",0.05,1,7.05194687843,327.595822096
"[10, 5]",0.15,1,7.05392718315,346.688842058
"[10, 5]",0.05,1,7.05332684517,365.781906128
"[10, 5]",0.25,1,7.05371212959,384.875324965
"[10, 5]",0.15,1,7.05416297913,403.968617916
"[10, 5]",0.25,1,7.05325317383,423.061212063
"[10, 5]",0.15,1,7.05367898941,442.154706955
"[10, 5]",0.25,1,7.05286002159,461.246541977
"[5, 10]",0.25,1,12.0378370285,490.379569054
"[5, 10]",0.25,1,12.0565879345,509.472707987
"[5, 10]",0.15,1,12.0556130409,528.565587044
"[5, 10]",0.05,1,12.0564570427,547.659237146
"[5, 10]",0.15,1,12.0397291183,566.735548973
"[5, 10]",0.05,1,12.0564651489,585.828567982
"[5, 10]",0.15,1,12.0558331013,604.921617031
"[5, 10]",0.05,1,12.0556249619,624.015201092
"[10, 5]",0.15,1,7.05166196823,643.15811491
"[10, 5]",0.25,1,7.0537648201,662.251568079
"[10, 5]",0.15,1,7.03778100014,681.32803607
"[10, 5]",0.25,1,7.05359792709,700.420934916
"[10, 5]",0.05,1,7.05379295349,719.514291048
"[10, 5]",0.05,1,7.0540459156,738.607489109
"[10, 5]",0.05,1,7.0533490181,757.700186968
"[10, 5]",0.15,1,7.05325388908,776.793389082
"[5, 10]",0.25,1,12.0541939735,805.942039967
"[5, 10]",0.15,1,12.0885958672,825.068064928
"[5, 10]",0.15,1,12.0394079685,844.144926071
"[5, 10]",0.05,1,12.0562970638,863.238188982
"[5, 10]",0.05,1,12.0398590565,882.314687967
"[5, 10]",0.25,1,12.0566179752,901.407889128
"[5, 10]",0.05,1,12.0393610001,920.484296083
"[5, 10]",0.25,1,12.0559389591,939.577202082
"[13, 2]",0.25,1,4.05032801628,955.718809128
"[13, 2]",0.25,1,4.05110907555,974.812299013
"[13, 2]",0.15,1,4.05246901512,993.905570984
"[13, 2]",0.05,1,4.05163884163,1012.99839711
"[13, 2]",0.05,1,4.05208396912,1032.09182596
"[13, 2]",0.15,1,4.05366587639,1051.18620014
"[13, 2]",0.25,1,4.05189085007,1070.29458308
"[13, 2]",0.05,1,4.0519900322,1089.38794804
"[2, 13]",0.25,1,15.0240499973,1124.50577998
"[2, 13]",0.05,1,15.0408430099,1143.58244801
"[2, 13]",0.25,1,15.0407791138,1162.65881014
"[2, 13]",0.15,1,15.0407090187,1181.73523402
"[2, 13]",0.15,1,15.0408790112,1200.81179404
"[2, 13]",0.05,1,15.0406620502,1219.88822794
"[2, 13]",0.05,1,15.0419020653,1238.96559596
"[2, 13]",0.15,1,15.0417809486,1258.04216504
Total reward = $,9.600000000000005
